Score|InChI|FragmenterScore_Values|MaximumTreeDepth|MonoisotopicMass|Identifier|MolecularFormula|FormulasOfExplPeaks|InChIKey2|InChIKey1|FragmenterScore|ExplPeaks|NoExplPeaks|NumberPeaksUsed
1.0|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-25-22-19-17-15-13-11-9-7-2/h20-21,24,26,40H,6-19,22-23,25,27-39H2,1-5H3/b21-20-,26-24-/t40-/m1/s1|431.0;607.0;1138.0;276.0|3|757.562158|LMGP01010926|C42H80NO8P|253.208532772547:[C16H31O2-H]-H-;478.277327444057:[C23H46NO7P]-H-;506.30741028005:[C25H45O8P+2H]-;742.519317973328:[C41H77NO8P+H]-H-|ZJNCXZMVSA|SMKWDVPQDCTXMH|177.18350627970386|253.208532772547_999.0;478.277327444057_56.1;506.30741028005_51.7;742.519317973328_230.8|4|4
1.0|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,25,27,40H,6-19,22-24,26,28-39H2,1-5H3/b21-20-,27-25-/t40-/m1/s1|431.0;607.0;1138.0;276.0|3|757.562158|LMGP01010589|C42H80NO8P|253.208532772547:[C16H31O2-H]-H-;478.277327444057:[C23H46NO7P]-H-;506.30741028005:[C25H45O8P+2H]-;742.519317973328:[C41H77NO8P+H]-H-|PNKFPDHGSA|NVWYLRLKCCCUBZ|177.18350627970386|253.208532772547_999.0;478.277327444057_56.1;506.30741028005_51.7;742.519317973328_230.8|4|4
0.9473701659046837|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-25-22-19-17-15-13-11-9-7-2/h16-19,40H,6-15,20-39H2,1-5H3/b18-16-,19-17-/t40-/m1/s1|331.0;707.0;276.0|3|757.562158|LMGP01012147|C42H80NO8P|253.208532772547:[C16H29O2+H]-H-;478.277327444057:[C23H44NO7P+2H]-H-;742.519317973328:[C41H77NO8P+H]-H-|JSLHZOBYSA|FDBAKEKHEMZAPT|167.8583677397766|253.208532772547_999.0;478.277327444057_56.1;742.519317973328_230.8|3|4
0.9473701659046837|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-25-22-19-17-15-13-11-9-7-2/h17,19-21,40H,6-16,18,22-39H2,1-5H3/b19-17-,21-20-/t40-/m1/s1|331.0;707.0;276.0|3|757.562158|LMGP01010887|C42H80NO8P|253.208532772547:[C16H29O2+H]-H-;478.277327444057:[C23H44NO7P+2H]-H-;742.519317973328:[C41H77NO8P+H]-H-|RWGOWQMXSA|QJZAWHQVXYMEQR|167.8583677397766|253.208532772547_999.0;478.277327444057_56.1;742.519317973328_230.8|3|4
0.9473701659046837|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h17,19-21,40H,6-16,18,22-39H2,1-5H3/b19-17-,21-20-/t40-/m1/s1|331.0;707.0;276.0|3|757.562158|LMGP01010688|C42H80NO8P|253.208532772547:[C16H29O2+H]-H-;478.277327444057:[C23H44NO7P+2H]-H-;742.519317973328:[C41H77NO8P+H]-H-|RWGOWQMXSA|ZRCWDIULNHKQRD|167.8583677397766|253.208532772547_999.0;478.277327444057_56.1;742.519317973328_230.8|3|4
0.9473701659046837|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h16-19,40H,6-15,20-39H2,1-5H3/b18-16-,19-17-/t40-/m1/s1|331.0;707.0;276.0|3|757.562158|LMGP01010687|C42H80NO8P|253.208532772547:[C16H29O2+H]-H-;478.277327444057:[C23H44NO7P+2H]-H-;742.519317973328:[C41H77NO8P+H]-H-|JSLHZOBYSA|JUVGBPLHSDPAMK|167.8583677397766|253.208532772547_999.0;478.277327444057_56.1;742.519317973328_230.8|3|4
0.9473701659046837|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,32,34,40H,6-19,22-31,33,35-39H2,1-5H3/b21-20-,34-32-/t40-/m1/s1|331.0;707.0;276.0|3|757.562158|LMGP01010678|C42H80NO8P|253.208532772547:[C16H29O2+H]-H-;478.277327444057:[C23H44NO7P+2H]-H-;742.519317973328:[C41H77NO8P+H]-H-|QTNCRPRLSA|VPPFFEUDOLPGFB|167.8583677397766|253.208532772547_999.0;478.277327444057_56.1;742.519317973328_230.8|3|4
0.9304854712927176|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-25-22-19-17-15-13-11-9-7-2/h14,16,20-21,40H,6-13,15,17-19,22-39H2,1-5H3/b16-14-,21-20-/t40-/m1/s1|431.0;607.0;1.00000376E8;276.0|3|757.562158|LMGP01010932|C42H80NO8P|253.208532772547:[C16H31O2-H]-H-;478.277327444057:[C23H46NO7P]-H-;506.30741028005:[C25H46O8P+2H]-H-;742.519317973328:[C41H77NO8P+H]-H-|ZTIMHPMXSA|FWMYJLDHIVCJCT|164.86667834596645|253.208532772547_999.0;478.277327444057_56.1;506.30741028005_51.7;742.519317973328_230.8|4|4
0.9304854712927176|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h14,16,20-21,40H,6-13,15,17-19,22-39H2,1-5H3/b16-14-,21-20-/t40-/m1/s1|431.0;607.0;1.00000376E8;276.0|3|757.562158|LMGP01010594|C42H80NO8P|253.208532772547:[C16H31O2-H]-H-;478.277327444057:[C23H46NO7P]-H-;506.30741028005:[C25H46O8P+2H]-H-;742.519317973328:[C41H77NO8P+H]-H-|ZTIMHPMXSA|JLPULHDHAOZNQI|164.86667834596645|253.208532772547_999.0;478.277327444057_56.1;506.30741028005_51.7;742.519317973328_230.8|4|4
0.9304854712927176|InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h14,16,20-21,40H,6-13,15,17-19,22-39H2,1-5H3/b16-14+,21-20+/t40-/m1/s1|431.0;607.0;1.00000376E8;276.0|3|757.562158|LMGP01010592|C42H80NO8P|253.208532772547:[C16H31O2-H]-H-;478.277327444057:[C23H46NO7P]-H-;506.30741028005:[C25H46O8P+2H]-H-;742.519317973328:[C41H77NO8P+H]-H-|JLOPVYAASA|JLPULHDHAOZNQI|164.86667834596645|253.208532772547_999.0;478.277327444057_56.1;506.30741028005_51.7;742.519317973328_230.8|4|4
